tid,mjd,fid,diffmaglim
"ztf",58322.4302662001,1,20.7538
"ztf",58323.457592600025,1,20.9324
"ztf",58325.27526619984,2,19.6795
"ztf",58326.37989579979,2,19.7944
"ztf",58326.47372689983,1,19.2148
"ztf",58328.47250000015,1,-1007.8
"ztf",58330.44468750013,1,19.8873
"ztf",58331.36599540012,2,16.4638
"ztf",58331.45246529998,1,19.9782
"ztf",58334.31053239992,1,20.5122
"ztf",58335.31033559982,1,23.4534
"ztf",58336.32239580015,1,20.7998
"ztf",58337.36931709992,1,21.0412
"ztf",58338.36480320012,1,20.8211
"ztf",58340.34807869978,1,19.8811
"ztf",58343.389629600104,1,20.8976
"ztf",58344.34667820018,1,20.7399
"ztf",58346.32142359996,1,20.9138
"ztf",58347.41349539999,2,20.3809
"ztf",58348.34700229997,1,20.8899
"ztf",58349.3700116002,1,20.8859
"ztf",58350.341678199824,1,20.8792
"ztf",58351.36172450008,2,20.2952
"ztf",58351.41038190015,1,21.0666
"ztf",58352.3621991002,1,20.3641
"ztf",58354.39034719998,2,19.9398
"ztf",58355.28040509997,2,20.0949
"ztf",58360.2765740999,2,20.2223
"ztf",58360.36234949995,1,19.6729
"ztf",58360.36831020005,1,19.6787
"ztf",58361.22401619982,1,20.8055
"ztf",58362.18295140006,2,20.4454
"ztf",58362.24533559987,1,20.324
"ztf",58363.300740700215,1,20.4326
"ztf",58363.30177079979,1,20.4004
"ztf",58364.247256900184,1,21.0305
"ztf",58365.20255789999,2,20.686
"ztf",58365.28097219998,1,20.939
"ztf",58366.260243100114,1,21.0438
"ztf",58366.26702550007,1,20.7578
"ztf",58367.27785879979,1,20.9375
"ztf",58368.25726850005,1,20.9204
"ztf",58368.28018519981,2,20.7133
"ztf",58369.191990700085,2,20.7305
"ztf",58369.27949069999,1,20.8999
"ztf",58369.30009259982,1,20.8514
"ztf",58370.23858800018,1,20.8774
"ztf",58370.277303200215,2,20.6387
"ztf",58371.26706020022,1,20.9559
"ztf",58371.29916669987,2,20.4431
"ztf",58372.26041670004,1,20.9279
"ztf",58372.30356479995,2,20.4129
"ztf",58373.258784700185,1,20.692
"ztf",58373.278553199954,2,20.6774
"ztf",58374.25337960012,1,20.9546
"ztf",58374.32407409977,2,20.2269
"ztf",58375.19113430008,2,20.5672
"ztf",58375.28675930016,1,20.8954
"ztf",58375.298240699805,1,20.9671
"ztf",58376.20496529993,2,20.7228
"ztf",58376.29078700021,1,20.6935
"ztf",58377.25907409983,1,20.8704
"ztf",58377.27866900014,2,20.3878
"ztf",58378.27787039988,2,20.3284
"ztf",58378.30230320012,1,20.7141
"ztf",58379.27465280006,2,20.2727
"ztf",58379.31747689983,1,20.7126
"ztf",58380.34113429999,1,19.7459
"ztf",58382.23648149986,1,20.2152
"ztf",58382.23858800018,1,20.0521
"ztf",58382.30586809991,2,20.0094
"ztf",58383.221319399774,1,19.9073
"ztf",58383.310648099985,2,20.0416
"ztf",58384.27574069984,1,19.8386
"ztf",58385.14947920013,1,19.8655
"ztf",58385.2267593001,2,20.0384
"ztf",58385.23581020022,2,19.9899
"ztf",58385.35629629996,1,19.2992
"ztf",58386.16498839995,1,19.5997
"ztf",58386.253911999986,2,19.6855
"ztf",58387.16629630001,2,20.1164
"ztf",58387.214849499986,1,19.7407
"ztf",58388.12988429982,1,20.5824
"ztf",58388.130358799826,1,20.5995
"ztf",58388.20250000013,2,20.0386
"ztf",58389.14991899999,1,20.639
"ztf",58390.16633100016,1,20.8792
"ztf",58390.17039350001,2,20.2831
"ztf",58456.138773099985,2,19.7208
"ztf",58456.13923610002,2,19.4061
"ztf",58457.10918979999,1,19.9521
"ztf",58457.16255789995,2,19.407
"ztf",58469.11481480021,1,20.156
"ztf",58469.133807899896,1,19.7661
"ztf",58471.13111109985,2,18.6997
"ztf",58472.09701390006,2,19.7659
"ztf",58472.09747690009,2,19.7643
"ztf",58472.141365699936,1,19.3424
"ztf",58472.16075230017,1,19.2359
"ztf",58474.1431481,2,19.4591
"ztf",58475.13415510021,2,19.3744
"ztf",58475.13461809978,2,19.455
"ztf",58482.11987269996,1,19.6413
"ztf",58483.10766200023,1,19.9538
"ztf",58488.135011599865,1,18.9161
"ztf",58635.46499999985,1,20.948
"ztf",58636.433310199995,2,20.8194
"ztf",58636.43377309991,2,20.7923
"ztf",58637.42458330002,2,20.7688
"ztf",58637.453252300154,1,21.033
"ztf",58638.458761599846,1,20.8509
"ztf",58638.47074070014,2,20.4321
"ztf",58639.41040509986,2,20.6747
"ztf",58639.41086809989,2,20.5891
"ztf",58639.4440394002,1,20.9977
"ztf",58639.44450230012,1,21.0238
"ztf",58640.450949099846,1,20.919
"ztf",58640.475185200106,2,20.5277
"ztf",58641.47109950008,2,20.8581
"ztf",58642.44586810004,2,20.5746
"ztf",58642.446330999956,2,20.6752
"ztf",58644.47030089982,2,20.5797
"ztf",58645.44189810008,1,20.3504
"ztf",58646.47549769981,2,20.5016
"ztf",58647.31743060006,2,20.0785
"ztf",58649.29920140002,2,19.5231
"ztf",58650.3406134001,2,19.7399
"ztf",58650.47047450021,1,19.8666
"ztf",58651.42834489979,2,19.5417
"ztf",58652.42385420017,2,19.8064
"ztf",58653.45538190007,2,19.8675
"ztf",58654.43271989981,2,19.765
"ztf",58654.45509260008,2,19.7411
"ztf",58657.422569400165,2,20.0427
"ztf",58657.42398149986,2,20.1727
"ztf",58660.42964120023,1,20.4817
"ztf",58660.47482640017,2,15.8665
"ztf",58663.45143519994,1,20.2347
"ztf",58663.46896990016,1,19.9778
"ztf",58833.07629630016,2,19.7141
"ztf",58833.11285880022,1,20.0387
"ztf",58835.091886600014,2,17.9788
"ztf",58835.117314800154,1,17.8743
"ztf",58836.12116899993,1,20.1773
"ztf",58839.11394680012,1,16.9302
"ztf",58851.09399309987,2,18.4769
"ztf",58851.09489580011,2,18.3436
"ztf",58851.11369210016,1,18.9132
"ztf",58851.11870370014,1,18.4799
"ztf",58998.427476900164,1,20.8292
"ztf",59001.4075230998,1,20.3733
"ztf",59004.30634259991,2,19.4822
"ztf",59004.30821759999,2,19.499
"ztf",59004.467372700106,1,19.8859
"ztf",59004.46784720011,1,19.8356
"ztf",59010.47184030013,1,20.1268
"ztf",59010.47847220022,1,20.0464
"ztf",59013.342442099936,2,20.345
"ztf",59013.369664399885,2,20.3972
"ztf",59013.39218749991,1,20.4764
"ztf",59016.36631939979,1,20.4403
"ztf",59016.37496529985,1,20.6623
"ztf",59016.47462960007,2,20.5573
"ztf",59019.35109949997,1,20.9033
"ztf",59019.35157410009,1,21.0073
"ztf",59019.39163189987,2,20.6974
"ztf",59022.3666782002,1,20.5985
"ztf",59022.393912000116,1,20.7702
"ztf",59022.46466440009,2,20.8167
"ztf",59022.46608800022,2,20.6697
"ztf",59025.350196800195,1,20.7443
"ztf",59068.355763900094,2,20.2292
"ztf",59068.39034719998,2,20.3409
"ztf",59069.44916669978,2,20.4618
"ztf",59074.32319439994,1,20.4572
"ztf",59074.328865699936,1,16.7139
"ztf",59076.34885419998,2,19.4565
"ztf",59076.3493170999,2,19.3763
"ztf",59078.38598380005,1,19.7134
"ztf",59080.294108800124,2,20.6613
"ztf",59080.29694439983,2,20.5393
"ztf",59080.34781249985,2,20.534
"ztf",59080.348275499884,2,20.5496
"ztf",59081.393680599984,2,20.4158
"ztf",59084.28935190011,2,20.2491
"ztf",59086.34738430008,2,20.6958
"ztf",59091.24831019994,1,20.1185
"ztf",59093.41619209992,1,19.2732
"ztf",59094.32756939996,2,19.511
"ztf",59094.351967600174,2,19.2778
"ztf",59095.323032400105,1,19.4622
"ztf",59096.174930599984,1,20.1681
"ztf",59096.29813659983,2,20.1596
"ztf",59097.34467589995,1,19.5229
"ztf",59098.34776620008,2,20.0983
"ztf",59099.20604170021,2,20.5429
"ztf",59099.3147454001,2,20.0856
"ztf",59099.31520830002,2,20.2266
"ztf",59099.36598380003,1,20.0772
"ztf",59106.19065969996,2,20.2298
"ztf",59106.22155090002,2,20.1041
"ztf",59106.28638890013,1,19.8807
"ztf",59106.28780090017,1,19.8018
"ztf",59109.17707179999,2,20.0253
"ztf",59109.17847219994,2,19.9822
"ztf",59109.22071760008,1,20.5008
"ztf",59109.306064799894,1,20.4385
"ztf",59112.163888900075,1,20.9179
"ztf",59112.19472219981,2,20.6962
"ztf",59112.1975579001,2,20.7401
"ztf",59112.28201390011,1,21.0254
"ztf",59112.30930559989,1,20.8662
"ztf",59113.320138900075,2,20.5725
"ztf",59115.22805560008,1,20.7278
"ztf",59115.23695599986,1,20.5648
"ztf",59115.23835649993,1,20.7587
"ztf",59116.23538189987,1,20.5357
"ztf",59121.29026619997,1,19.842
"ztf",59127.25863429997,2,17.3402
"ztf",59136.1395370001,1,20.7017
"ztf",59140.143391199876,2,20.4801
"ztf",59142.15910879988,2,16.6464
"ztf",59142.17881939979,1,19.8042
"ztf",59143.138205999974,2,20.7191
"ztf",59144.19613429997,2,20.5509
"ztf",59146.1151389,2,20.0842
"ztf",59146.13721060008,1,17.6284
"ztf",59151.1160995001,2,20.0208
"ztf",59157.11614579987,2,20.5117
"ztf",59157.14493060019,1,20.0146
"ztf",59158.11620370019,2,19.912
"ztf",59164.134178199805,2,20.2119
"ztf",59167.11114579998,2,20.1625
"ztf",59187.21903940011,2,18.4005
"ztf",59189.17855319986,2,19.6939
"ztf",59192.20253469981,1,19.0332
"ztf",59193.156643500086,1,19.7267
"ztf",59194.17452549981,1,19.5902
"ztf",59195.16228009993,1,19.9285
"ztf",59197.11149309995,1,17.8528
"ztf",59366.40291670011,2,20.2642
"ztf",59366.40431710007,2,20.3929
"ztf",59368.40984949982,2,20.4492
"ztf",59368.424571800046,2,20.5049
"ztf",59368.44994209986,1,20.6555
"ztf",59368.45041669998,1,20.6272
"ztf",59370.40174769983,1,20.3168
"ztf",59370.42553240014,1,20.7903
"ztf",59370.44869210012,2,20.7244
"ztf",59373.40745369997,2,20.4122
"ztf",59373.40792819997,2,20.289
"ztf",59373.446284700185,1,20.7867
"ztf",59373.44675929984,1,20.7706
"ztf",59376.384664400015,1,20.6842
"ztf",59376.42887730012,2,20.0268
"ztf",59376.45278939977,2,20.2204
"ztf",59378.40534720011,2,20.643
"ztf",59378.40581020014,2,20.5799
"ztf",59378.43489579996,1,20.8808
"ztf",59381.40561340004,2,18.9091
"ztf",59381.40608800016,2,19.3415
"ztf",59384.35137729999,2,20.0889
"ztf",59384.371354199946,2,20.1209
"ztf",59386.40718750004,2,20.4834
"ztf",59391.32087960001,2,19.7245
"ztf",59391.32135420013,2,19.5497
"ztf",59391.426076400094,1,19.8702
"ztf",59393.34055559989,1,19.678
"ztf",59406.378287000116,1,20.5872
"ztf",59406.382928200066,1,20.709
"ztf",59408.36869210005,1,20.5431
"ztf",59408.36915510008,1,20.6619
"ztf",59408.423518499825,2,19.3741
"ztf",59408.42399309995,2,18.7895
"ztf",59410.36317129992,1,20.8137
"ztf",59410.363645799924,1,19.8206
"ztf",59410.388680600096,2,20.4284
"ztf",59410.389629600104,2,20.6627
"ztf",59412.34699069988,1,20.66
"ztf",59412.389675899874,2,20.614
"ztf",59412.3911342998,2,20.5878
"ztf",59415.38540509995,2,20.6483
"ztf",59415.406990699936,2,20.7492
"ztf",59415.42975689983,1,20.7115
"ztf",59415.442268500105,1,20.7497
"ztf",59418.361192100216,2,19.6391
"ztf",59418.3636690001,2,19.4921
"ztf",59418.43406250002,1,18.7673
"ztf",59418.43453700002,1,18.7564
"ztf",59422.29201389989,1,20.0699
"ztf",59422.371076399926,2,20.0775
"ztf",59423.354305599816,1,18.6559
"ztf",59423.426388899796,2,19.3449
"ztf",59424.28391199978,1,20.6075
"ztf",59424.32496530004,2,20.5691
"ztf",59426.33303239988,1,20.7152
"ztf",59427.31126159988,1,20.8545
"ztf",59427.3478472,2,20.7258
"ztf",59428.303333300166,1,20.8187
"ztf",59428.34929399984,2,20.6124
"ztf",59429.32644680003,1,20.7303
"ztf",59430.26362269977,2,20.6782
"ztf",59430.33076390019,1,20.7639
"ztf",59434.267800900154,1,20.8281
"ztf",59438.328518500086,2,19.725
"ztf",59440.30638890015,2,20.726
"ztf",59441.283425900154,1,20.6098
"ztf",59442.34568289993,2,20.695
"ztf",59444.28538190015,2,19.9168
"ztf",59447.279953700025,2,19.7548
"ztf",59449.32697919989,2,19.6947
"ztf",59450.344548599795,2,18.9739
"ztf",59450.41340279998,1,19.0056
"ztf",59451.2276157001,1,19.5798
"ztf",59451.28460650006,2,19.814
"ztf",59453.22494209977,1,20.6482
"ztf",59453.28679399984,2,20.4105
"ztf",59454.23740739981,1,20.6078
"ztf",59454.30412039999,2,20.3892
"ztf",59455.24541669991,1,20.9046
"ztf",59455.26393519994,2,20.6045
"ztf",59458.277974499855,1,20.7867
"ztf",59459.26696760021,2,20.6554
"ztf",59459.30701390002,1,20.924
"ztf",59460.30335649988,1,20.8337
"ztf",59461.246053200215,1,20.8484
"ztf",59461.281145799905,2,20.5847
"ztf",59462.302812499925,1,20.6864
"ztf",59463.22113429988,1,20.9317
"ztf",59463.264270800166,2,20.665
"ztf",59464.25840280019,1,20.7522
"ztf",59502.19585649995,2,20.0082
"ztf",59502.196330999956,2,20.0161
"ztf",59502.21556709986,1,19.9929
"ztf",59502.216030099895,1,19.9845
"ztf",59504.156018500216,2,19.642
"ztf",59504.20290509984,1,19.7499
"ztf",59504.28821759997,2,19.6386
"ztf",59509.2459028,2,19.8491
"ztf",59510.17741899984,2,16.7334
"ztf",59512.130601900164,2,20.4941
"ztf",59512.18017360009,1,20.6514
"ztf",59517.116169000044,2,20.7308
"ztf",59520.183958299924,1,20.6036
"ztf",59520.19932870008,2,20.1789
"ztf",59520.21989580011,2,20.423
"ztf",59522.18204860017,2,20.4502
"ztf",59522.219143500086,1,20.3568
"ztf",59522.21961810021,1,20.3446
"ztf",59524.13303240016,1,20.9037
"ztf",59524.133495400194,1,20.9154
"ztf",59524.180081000086,2,20.7144
"ztf",59526.14041669993,2,20.6274
"ztf",59526.18092590012,1,20.7953
"ztf",59526.18138890015,1,20.8113
"ztf",59529.15363429999,2,20.2728
"ztf",59529.22416670015,1,19.9483
"ztf",59529.224641200155,1,19.9944
"ztf",59531.14064810006,2,19.8798
"ztf",59670.47274310002,2,20.459
"ztf",59673.430358800106,1,19.0621
"ztf",59673.46989580011,1,19.5538
"ztf",59673.494675899856,2,19.6547
"ztf",59675.42965279985,2,19.7642
"ztf",59675.496053200215,1,20.3879
"ztf",59676.469432900194,1,19.5839
"ztf",59676.49008100014,2,19.3745
"ztf",59678.47593750013,2,20.4327
"ztf",59678.47688659979,2,20.3024
"ztf",59678.49027779978,1,19.786
"ztf",59682.411851900164,1,18.9725
"ztf",59682.42158559989,1,19.1131
"ztf",59684.428946800064,2,19.0364
"ztf",59684.4298843001,2,18.9042
"ztf",59684.46247689985,1,19.2148
"ztf",59684.483622699976,1,19.3373
"ztf",59687.447384300176,1,19.2382
"ztf",59687.44974539988,1,19.1805
"ztf",59687.48614579998,2,19.4393
"ztf",59690.453020799905,1,19.291
"ztf",59690.47557870019,2,19.6235
"ztf",59690.48238429986,2,19.7919
"ztf",59694.454143499956,1,19.5692
"ztf",59694.4761806,2,19.4187
"ztf",59695.45190969994,2,20.0461
"ztf",59697.40652780002,2,18.6488
"ztf",59697.407002300024,2,20.0249
"ztf",59697.46761569986,1,20.5797
"ztf",59697.46809029998,1,20.8518
"ztf",59700.46409719996,1,20.1211
"ztf",59702.46899309987,1,20.4878
"ztf",59708.46548609994,2,20.189
"ztf",59711.468067099806,2,19.9973
"ztf",59714.432384300046,2,19.575
"ztf",59718.40303240018,2,20.1497
"ztf",59718.403506900184,2,19.8422
"ztf",59718.44503469998,2,19.9934
"ztf",59721.422395799775,2,20.4429
"ztf",59721.4545948999,2,20.5953
"ztf",59723.44737270009,2,20.2054
"ztf",59725.43524309993,2,20.754
"ztf",59725.45309029985,1,20.9136
"ztf",59727.403807899915,2,20.141
"ztf",59727.407824099995,2,20.3984
"ztf",59780.30736109987,1,16.351
"ztf",59780.30783559987,1,16.839
"ztf",59780.37763890019,1,16.9489
"ztf",59782.29938660003,1,20.4186
"ztf",59782.36160880001,2,20.6309
"ztf",59784.366169000044,1,20.8589
"ztf",59786.35092590004,1,20.8545
"ztf",59788.38914350001,2,20.5084
"ztf",59790.281122699846,2,20.4661
"ztf",59790.3234490999,1,20.0466
"ztf",59790.323923599906,1,19.9348
"ztf",59798.34553240007,2,20.5825
"ztf",59805.30719910003,2,19.8194
"ztf",59805.404097199906,1,19.8713
"ztf",59842.26980319992,2,20.5658
"ztf",59843.26947919978,2,20.6704
"ztf",59844.28780090017,2,20.3183
"ztf",59845.16434030002,2,20.7566
"ztf",59847.22346059978,2,20.6109
"ztf",59849.151203699876,2,20.6709
"ztf",59849.17886570003,2,20.7198
"ztf",59851.18342590006,2,20.6754
"ztf",59853.26035880018,2,20.8045
"ztf",59859.24209489999,2,20.0738
"ztf",59859.2425694,2,19.9739
"ztf",59861.26396990009,2,19.4751
"ztf",59863.22443290008,2,19.9565
"ztf",59894.12123840023,2,20.3312
"ztf",59894.121712999884,2,19.2439
"ztf",59894.18553239992,1,17.3972
"ztf",59896.15596059989,1,19.8691
"ztf",59900.119340300094,2,19.6203
"ztf",59900.13862269977,1,17.8132
"ztf",59904.11594909988,2,20.386
"ztf",59906.13570600003,2,20.3718
"ztf",59911.103136599995,2,18.3951
"ztf",59913.158044000156,2,19.9518
"ztf",59914.13677080022,2,19.7835
"ztf",59914.18304400006,1,19.4844
"ztf",60036.46668979991,2,19.7794
"ztf",60045.44706019992,2,20.1638
"ztf",60049.48840280017,2,20.5671
"ztf",60055.45393519988,1,20.4941
"ztf",60065.42768519977,2,18.8848
"ztf",60079.42642359994,2,20.6484
"ztf",60084.40818289993,2,19.8013
"ztf",60090.45296300016,2,19.6804
"ztf",60172.282835599966,2,20.2628
"ztf",60172.290705999825,2,17.5463
"ztf",60180.314999999944,2,19.4785
"ztf",60183.372858799994,2,20.5056
"ztf",60185.2185531999,2,20.1728
"ztf",60185.452951400075,1,19.6464
"ztf",60186.23645830015,2,19.8294
"ztf",60187.17618060019,1,19.551
"ztf",60191.18085649982,2,20.3464
"ztf",60193.24278939981,1,20.7747
"ztf",60193.308923599776,2,20.533
"ztf",60194.21791670006,2,20.1952
"ztf",60194.28082180023,1,20.7178
"ztf",60195.2829167,2,20.6323
"ztf",60195.3275462999,1,20.5147
"ztf",60196.21460650023,2,20.5371
"ztf",60196.38631939981,1,20.4855
"ztf",60198.24649310019,1,20.3518