angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.000000,J025740.08+003543.3,44.4170336,+0.5953820,0.2011,0.1815,150.9,16.502,15.829,12.797,9.218,,,,0.071,0.126,,,,,,438100001351049925,0000,0,0nnn,ABUU,-565,425,222,454,,J025740.08+003543.3,44.4170336,+0.5953820,0.2011,0.1815,150.9,16.502,15.829,12.797,9.218,,,,0.071,0.126,,,,,,438100001351049925,0000,0,0nnn,ABUU,-565,425,222,454,
0.000000,J025739.88+003553.6,44.4161794,+0.5982451,0.2591,0.2332,150.3,16.808,16.564,12.165,9.291,,,,0.084,0.250,,,,,,438100001351050108,0000,0,nnnn,ABUU,-409,598,-281,630,,J025739.88+003553.6,44.4161794,+0.5982451,0.2591,0.2332,150.3,16.808,16.564,12.165,9.291,,,,0.084,0.250,,,,,,438100001351050108,0000,0,nnnn,ABUU,-409,598,-281,630,
0.000000,J025735.58+003628.6,44.3982517,+0.6079618,0.2889,0.2599,147.0,16.807,16.989,12.671,9.046,,,,0.090,0.383,,,,,,438100001351050220,0000,0,nnnn,ACUU,-325,665,-256,693,,J025735.58+003628.6,44.3982517,+0.6079618,0.2889,0.2599,147.0,16.807,16.989,12.671,9.046,,,,0.090,0.383,,,,,,438100001351050220,0000,0,nnnn,ACUU,-325,665,-256,693,
0.000000,J025737.53+003519.5,44.4063780,+0.5887633,0.4017,0.3641,149.1,17.228,17.211,12.309,8.868,,,,0.122,,,,,,,438100001351050351,0000,0,nnnn,BUUU,394,987,942,1032,,J025737.53+003519.5,44.4063780,+0.5887633,0.4017,0.3641,149.1,17.228,17.211,12.309,8.868,,,,0.122,,,,,,,438100001351050351,0000,0,nnnn,BUUU,394,987,942,1032,
0.000000,J025739.14+003522.2,44.4130858,+0.5895001,0.3284,0.2927,147.5,17.033,17.453,12.634,9.338,,,,0.100,,,,,,,438100001351050344,0000,0,nnnn,AUUU,-25,759,-717,802,,J025739.14+003522.2,44.4130858,+0.5895001,0.3284,0.2927,147.5,17.033,17.453,12.634,9.338,,,,0.100,,,,,,,438100001351050344,0000,0,nnnn,AUUU,-25,759,-717,802,
0.000000,J025742.14+003543.8,44.4255980,+0.5955166,0.5650,0.5071,155.4,17.740,17.005,12.249,9.210,,,,0.188,0.365,,,,,,438100001351050468,0000,0,nnnn,BCUU,1002,1546,526,1646,,J025742.14+003543.8,44.4255980,+0.5955166,0.5650,0.5071,155.4,17.740,17.005,12.249,9.210,,,,0.188,0.365,,,,,,438100001351050468,0000,0,nnnn,BCUU,1002,1546,526,1646,
0.000000,J025734.53+003544.1,44.3939049,+0.5955945,0.1232,0.1119,153.9,15.783,15.255,11.409,9.300,,,,0.046,0.093,0.139,,,,,438100001351049749,0000,0,0nnn,AABU,323,238,-496,256,,J025734.53+003544.1,44.3939049,+0.5955945,0.1232,0.1119,153.9,15.783,15.255,11.409,9.300,,,,0.046,0.093,0.139,,,,,438100001351049749,0000,0,0nnn,AABU,323,238,-496,256,
0.000000,J025738.16+003541.2,44.4090184,+0.5947871,0.1074,0.0990,146.6,15.512,15.355,12.509,9.297,,,,0.041,0.086,,,,,,438100001351049704,0000,0,1nnn,AAUU,-148,184,124,194,,J025738.16+003541.2,44.4090184,+0.5947871,0.1074,0.0990,146.6,15.512,15.355,12.509,9.297,,,,0.041,0.086,,,,,,438100001351049704,0000,0,1nnn,AAUU,-148,184,124,194,
0.000000,J025739.34+003619.7,44.4139415,+0.6054835,0.5549,0.4968,153.3,17.658,17.293,12.899,8.771,,,,0.173,0.480,,,,,,438100001351050797,0000,0,nnnn,BCUU,9,1446,303,1544,,J025739.34+003619.7,44.4139415,+0.6054835,0.5549,0.4968,153.3,17.658,17.293,12.899,8.771,,,,0.173,0.480,,,,,,438100001351050797,0000,0,nnnn,BCUU,9,1446,303,1544,
0.000000,J025733.35+003556.1,44.3889678,+0.5989181,0.5266,0.4726,150.8,17.565,16.764,12.755,8.843,,,,0.171,0.334,,,,,,438100001351050713,0000,0,nnnn,BBUU,2005,1227,-203,1302,,J025733.35+003556.1,44.3889678,+0.5989181,0.5266,0.4726,150.8,17.565,16.764,12.755,8.843,,,,0.171,0.334,,,,,,438100001351050713,0000,0,nnnn,BBUU,2005,1227,-203,1302,
0.000000,J025735.03+003619.0,44.3959647,+0.6052927,0.3003,0.2712,147.5,16.914,16.748,12.924,9.178,,,,0.097,0.306,,,,,,438100001351050256,0000,0,nnnn,ABUU,-86,750,907,781,,J025735.03+003619.0,44.3959647,+0.6052927,0.3003,0.2712,147.5,16.914,16.748,12.924,9.178,,,,0.097,0.306,,,,,,438100001351050256,0000,0,nnnn,ABUU,-86,750,907,781,
0.000000,J025741.99+003621.6,44.4249775,+0.6060257,0.1948,0.1785,148.0,16.409,16.652,12.333,8.767,,,,0.063,0.277,,,,,,438100001351049923,0000,0,1nnn,ABUU,-430,423,99,444,,J025741.99+003621.6,44.4249775,+0.6060257,0.1948,0.1785,148.0,16.409,16.652,12.333,8.767,,,,0.063,0.277,,,,,,438100001351049923,0000,0,1nnn,ABUU,-430,423,99,444,
0.000000,J025738.37+003653.1,44.4098885,+0.6147704,0.4035,0.3679,148.9,17.348,16.544,12.482,8.773,,,,0.134,0.249,,,,,,438100001351050546,0000,0,nnnn,BBUU,142,1001,-1039,1045,,J025738.37+003653.1,44.4098885,+0.6147704,0.4035,0.3679,148.9,17.348,16.544,12.482,8.773,,,,0.134,0.249,,,,,,438100001351050546,0000,0,nnnn,BBUU,142,1001,-1039,1045,
0.000000,J025744.02+003613.2,44.4334322,+0.6036847,0.2372,0.2185,149.8,16.732,16.502,12.468,9.268,,,,0.079,0.226,0.356,,,,,438100001351050024,0000,0,0nnn,ABCU,-203,563,-484,591,,J025744.02+003613.2,44.4334322,+0.6036847,0.2372,0.2185,149.8,16.732,16.502,12.468,9.268,,,,0.079,0.226,0.356,,,,,438100001351050024,0000,0,0nnn,ABCU,-203,563,-484,591,
0.000000,J025745.28+003648.1,44.4386709,+0.6133723,0.4370,0.3526,169.7,17.038,16.662,12.036,8.864,,,,0.125,0.325,,,,,,438100001351050440,0000,0,nnnn,BBUU,-928,982,-1881,1049,,J025745.28+003648.1,44.4386709,+0.6133723,0.4370,0.3526,169.7,17.038,16.662,12.036,8.864,,,,0.125,0.325,,,,,,438100001351050440,0000,0,nnnn,BBUU,-928,982,-1881,1049,
0.000000,J025744.90+003700.1,44.4370943,+0.6166990,0.4175,0.3756,148.1,17.315,16.736,12.245,9.112,,,,0.130,,,,,,,438100001351051845,0000,0,nnnn,BUUU,1532,1012,911,1068,,J025744.90+003700.1,44.4370943,+0.6166990,0.4175,0.3756,148.1,17.315,16.736,12.245,9.112,,,,0.130,,,,,,,438100001351051845,0000,0,nnnn,BUUU,1532,1012,911,1068,
0.000000,J025741.55+003728.0,44.4231662,+0.6244510,0.7089,0.6292,150.4,17.886,17.415,12.878,9.110,,,,0.212,,,,,,,438100001351051084,0000,0,nnnn,BUUU,244,1956,-1972,2079,,J025741.55+003728.0,44.4231662,+0.6244510,0.7089,0.6292,150.4,17.886,17.415,12.878,9.110,,,,0.212,,,,,,,438100001351051084,0000,0,nnnn,BUUU,244,1956,-1972,2079,
0.000000,J025744.89+003644.3,44.4370701,+0.6123102,0.1205,0.1100,143.6,15.700,15.557,12.875,9.053,,,,0.043,0.110,,,,,,438100001351049716,0000,0,0nnn,ABUU,-42,222,-131,235,,J025744.89+003644.3,44.4370701,+0.6123102,0.1205,0.1100,143.6,15.700,15.557,12.875,9.053,,,,0.043,0.110,,,,,,438100001351049716,0000,0,0nnn,ABUU,-42,222,-131,235,
0.000000,J025744.05+003721.8,44.4335663,+0.6227318,0.2347,0.2125,150.2,16.660,16.625,12.940,9.187,,,,0.076,0.270,,,,,,438100001351050058,0000,0,0nnn,ABUU,579,530,321,564,,J025744.05+003721.8,44.4335663,+0.6227318,0.2347,0.2125,150.2,16.660,16.625,12.940,9.187,,,,0.076,0.270,,,,,,438100001351050058,0000,0,0nnn,ABUU,579,530,321,564,
0.000000,J025743.02+003615.7,44.4292701,+0.6043765,0.1999,0.1787,152.9,16.381,15.836,11.855,8.777,,,,0.071,0.137,0.225,,,,,438100001351049836,0000,0,0nnn,ABBU,-708,401,597,429,,J025743.02+003615.7,44.4292701,+0.6043765,0.1999,0.1787,152.9,16.381,15.836,11.855,8.777,,,,0.071,0.137,0.225,,,,,438100001351049836,0000,0,0nnn,ABBU,-708,401,597,429,
0.000000,J025743.74+003648.1,44.4322892,+0.6133656,0.0734,0.0705,139.9,14.820,14.418,11.825,8.619,,,,0.032,0.049,0.203,,,,,438100001351049621,0000,0,00nn,AABU,126,109,-214,115,,J025743.74+003648.1,44.4322892,+0.6133656,0.0734,0.0705,139.9,14.820,14.418,11.825,8.619,,,,0.032,0.049,0.203,,,,,438100001351049621,0000,0,00nn,AABU,126,109,-214,115,
0.000000,J025746.04+003642.3,44.4418539,+0.6117513,0.2472,0.2239,147.7,16.690,16.704,12.729,9.115,,,,0.079,0.296,,,,,,438100001351050030,0000,0,nnnn,ABUU,607,553,266,582,,J025746.04+003642.3,44.4418539,+0.6117513,0.2472,0.2239,147.7,16.690,16.704,12.729,9.115,,,,0.079,0.296,,,,,,438100001351050030,0000,0,nnnn,ABUU,607,553,266,582,
0.000000,J025722.61+003502.3,44.3442137,+0.5839800,0.1051,0.0965,140.4,15.426,15.709,12.850,9.119,16.034,15.608,15.471,0.038,0.126,,,0.103,0.151,0.212,438100001351049693,0000,0,0nnn,ABUU,0,186,0,196,0.136,J025722.61+003502.3,44.3442137,+0.5839800,0.1051,0.0965,140.4,15.426,15.709,12.850,9.119,16.034,15.608,15.471,0.038,0.126,,,0.103,0.151,0.212,438100001351049693,0000,0,0nnn,ABUU,0,186,0,196,0.136
0.000000,J025719.49+003445.6,44.3312420,+0.5793487,0.1996,0.1779,147.8,16.411,16.185,12.463,9.165,,,,0.066,0.186,,0.458,,,,438100001351052599,0000,0,0nnn,ABUC,34,456,105,484,,J025719.49+003445.6,44.3312420,+0.5793487,0.1996,0.1779,147.8,16.411,16.185,12.463,9.165,,,,0.066,0.186,,0.458,,,,438100001351052599,0000,0,0nnn,ABUC,34,456,105,484,
0.000000,J025721.06+003537.1,44.3377584,+0.5936495,0.3690,0.3299,151.2,17.274,16.155,12.173,9.248,,,,0.131,0.184,,,,,,438100001351050236,0000,0,nnnn,BBUU,102,899,-92,953,,J025721.06+003537.1,44.3377584,+0.5936495,0.3690,0.3299,151.2,17.274,16.155,12.173,9.248,,,,0.131,0.184,,,,,,438100001351050236,0000,0,nnnn,BBUU,102,899,-92,953,
0.000000,J025721.80+003405.6,44.3408511,+0.5682352,0.1228,0.1149,147.8,15.761,16.014,12.847,9.154,,,,0.044,0.146,,,,,,438100001351049736,0000,0,0nnn,ABUU,239,238,404,250,,J025721.80+003405.6,44.3408511,+0.5682352,0.1228,0.1149,147.8,15.761,16.014,12.847,9.154,,,,0.044,0.146,,,,,,438100001351049736,0000,0,0nnn,ABUU,239,238,404,250,
0.000000,J025722.12+003352.0,44.3421808,+0.5644710,0.1089,0.1010,147.6,15.625,15.496,12.786,8.632,,,,0.041,0.095,,,,,,438100001351049713,0000,0,1nnn,AAUU,-28,197,-48,210,,J025722.12+003352.0,44.3421808,+0.5644710,0.1089,0.1010,147.6,15.625,15.496,12.786,8.632,,,,0.041,0.095,,,,,,438100001351049713,0000,0,1nnn,AAUU,-28,197,-48,210,
0.000000,J025722.20+003421.7,44.3425045,+0.5726978,0.5967,0.5331,151.9,17.861,16.806,12.840,9.287,,,,0.205,0.308,,,,,,438100001351050935,0000,0,nnnn,BBUU,106,1626,194,1719,,J025722.20+003421.7,44.3425045,+0.5726978,0.5967,0.5331,151.9,17.861,16.806,12.840,9.287,,,,0.205,0.308,,,,,,438100001351050935,0000,0,nnnn,BBUU,106,1626,194,1719,
0.000000,J025723.37+003440.9,44.3474065,+0.5780424,0.3688,0.3320,151.7,17.175,16.633,12.869,9.246,,,,0.113,,,,,,,438100001351050450,0000,0,nnnn,BUUU,308,904,1288,959,,J025723.37+003440.9,44.3474065,+0.5780424,0.3688,0.3320,151.7,17.175,16.633,12.869,9.246,,,,0.113,,,,,,,438100001351050450,0000,0,nnnn,BUUU,308,904,1288,959,
0.000000,J025722.32+003521.9,44.3430243,+0.5894167,0.3596,0.3269,145.7,17.146,16.907,12.801,8.679,,,,0.114,0.357,,,,,,438100001351050387,0000,0,nnnn,BCUU,-1063,869,-387,901,,J025722.32+003521.9,44.3430243,+0.5894167,0.3596,0.3269,145.7,17.146,16.907,12.801,8.679,,,,0.114,0.357,,,,,,438100001351050387,0000,0,nnnn,BCUU,-1063,869,-387,901,
0.000000,J025718.70+003458.1,44.3279572,+0.5828233,0.2494,0.2276,148.7,16.681,16.912,12.347,8.851,,,,0.080,0.382,,,,,,438100001351052755,0000,0,0nnn,ACUU,211,604,388,632,,J025718.70+003458.1,44.3279572,+0.5828233,0.2494,0.2276,148.7,16.681,16.912,12.347,8.851,,,,0.080,0.382,,,,,,438100001351052755,0000,0,0nnn,ACUU,211,604,388,632,
0.000000,J025721.27+003526.1,44.3386652,+0.5906080,0.2501,0.2251,146.8,16.738,16.442,12.600,9.307,,,,0.081,0.227,0.467,,,,,438100001351050072,0000,0,nnnn,ABCU,195,580,-301,609,,J025721.27+003526.1,44.3386652,+0.5906080,0.2501,0.2251,146.8,16.738,16.442,12.600,9.307,,,,0.081,0.227,0.467,,,,,438100001351050072,0000,0,nnnn,ABCU,195,580,-301,609,
0.000000,J025718.54+003429.9,44.3272676,+0.5749840,0.2985,0.2647,152.5,16.938,16.251,12.477,9.267,,,,0.099,0.198,,,,,,438100001351052993,0000,0,nnnn,ABUU,-1041,677,1381,720,,J025718.54+003429.9,44.3272676,+0.5749840,0.2985,0.2647,152.5,16.938,16.251,12.477,9.267,,,,0.099,0.198,,,,,,438100001351052993,0000,0,nnnn,ABUU,-1041,677,1381,720,
0.000000,J025724.07+003454.2,44.3503079,+0.5817226,0.3097,0.2789,145.2,16.954,17.283,12.641,9.183,,,,0.094,,,,,,,438100001351050425,0000,0,nnnn,AUUU,-72,738,-41,764,,J025724.07+003454.2,44.3503079,+0.5817226,0.3097,0.2789,145.2,16.954,17.283,12.641,9.183,,,,0.094,,,,,,,438100001351050425,0000,0,nnnn,AUUU,-72,738,-41,764,
0.000000,J025724.44+003510.5,44.3518666,+0.5862552,0.3465,0.3132,146.9,17.074,16.826,12.907,9.178,,,,0.106,,,,,,,438100001351050382,0000,0,nnnn,AUUU,-326,878,-1578,911,,J025724.44+003510.5,44.3518666,+0.5862552,0.3465,0.3132,146.9,17.074,16.826,12.907,9.178,,,,0.106,,,,,,,438100001351050382,0000,0,nnnn,AUUU,-326,878,-1578,911,
0.000000,J025719.70+003509.6,44.3320903,+0.5860168,0.5882,0.5248,152.3,17.676,16.892,12.975,9.223,,,,0.180,,,,,,,438100001351053482,0000,0,nnnn,BUUU,-26,1650,-9,1745,,J025719.70+003509.6,44.3320903,+0.5860168,0.5882,0.5248,152.3,17.676,16.892,12.975,9.223,,,,0.180,,,,,,,438100001351053482,0000,0,nnnn,BUUU,-26,1650,-9,1745,
0.000000,J025726.45+003625.9,44.3602438,+0.6071945,0.0738,0.0694,137.0,14.737,14.899,12.617,8.647,15.225,14.861,14.620,0.030,0.065,,,0.051,0.058,0.088,438100001351049625,0000,0,11nn,AAUU,-104,107,35,112,0.177,J025726.45+003625.9,44.3602438,+0.6071945,0.0738,0.0694,137.0,14.737,14.899,12.617,8.647,15.225,14.861,14.620,0.030,0.065,,,0.051,0.058,0.088,438100001351049625,0000,0,11nn,AAUU,-104,107,35,112,0.177
0.000000,J025727.57+003615.1,44.3648866,+0.6042067,0.6391,0.5736,149.6,17.944,16.849,12.919,9.199,,,,0.218,0.332,,,,,,438100001351051652,0000,0,nnnn,BBUU,-498,1989,-163,2090,,J025727.57+003615.1,44.3648866,+0.6042067,0.6391,0.5736,149.6,17.944,16.849,12.919,9.199,,,,0.218,0.332,,,,,,438100001351051652,0000,0,nnnn,BBUU,-498,1989,-163,2090,
0.000000,J025729.34+003549.1,44.3722842,+0.5969849,0.2108,0.1909,151.3,16.523,15.910,12.393,9.065,,,,0.072,0.146,,,,,,438100001351049972,0000,0,0nnn,ABUU,166,470,5,500,,J025729.34+003549.1,44.3722842,+0.5969849,0.2108,0.1909,151.3,16.523,15.910,12.393,9.065,,,,0.072,0.146,,,,,,438100001351049972,0000,0,0nnn,ABUU,166,470,5,500,
0.000000,J025724.52+003613.0,44.3521976,+0.6036226,0.3285,0.2952,147.4,17.112,16.486,12.582,9.208,,,,0.106,0.235,,,,,,438100001351050234,0000,0,nnnn,ABUU,-127,830,-213,868,,J025724.52+003613.0,44.3521976,+0.6036226,0.3285,0.2952,147.4,17.112,16.486,12.582,9.208,,,,0.106,0.235,,,,,,438100001351050234,0000,0,nnnn,ABUU,-127,830,-213,868,
0.000000,J025723.43+003557.2,44.3476644,+0.5992368,0.0428,0.0399,86.9,12.425,12.456,12.522,9.119,13.228,12.611,12.485,0.023,0.024,0.394,,0.024,0.022,0.029,438100001351049554,0000,0,22nn,AACU,34,36,-43,35,0.075,J025723.43+003557.2,44.3476644,+0.5992368,0.0428,0.0399,86.9,12.425,12.456,12.522,9.119,13.228,12.611,12.485,0.023,0.024,0.394,,0.024,0.022,0.029,438100001351049554,0000,0,22nn,AACU,34,36,-43,35,0.075
0.000000,J025729.00+003622.2,44.3708485,+0.6061670,0.6403,0.5734,148.8,17.821,17.452,12.900,9.304,,,,0.201,,,,,,,438100001351051028,0000,0,nnnn,BUUU,-552,1794,-13,1910,,J025729.00+003622.2,44.3708485,+0.6061670,0.6403,0.5734,148.8,17.821,17.452,12.900,9.304,,,,0.201,,,,,,,438100001351051028,0000,0,nnnn,BUUU,-552,1794,-13,1910,
0.000000,J025727.25+003647.8,44.3635530,+0.6132871,0.5283,0.4849,151.5,17.636,16.630,12.779,8.670,,,,0.168,,,,,,,438100001351050596,0000,0,nnnn,BUUU,-869,1430,-2798,1516,,J025727.25+003647.8,44.3635530,+0.6132871,0.5283,0.4849,151.5,17.636,16.630,12.779,8.670,,,,0.168,,,,,,,438100001351050596,0000,0,nnnn,BUUU,-869,1430,-2798,1516,
0.000000,J025729.41+003613.9,44.3725671,+0.6038716,0.5962,0.5446,152.7,17.767,16.703,12.863,9.274,,,,0.188,,,,,,,438100001351050883,0000,0,nnnn,BUUU,693,1780,-1473,1885,,J025729.41+003613.9,44.3725671,+0.6038716,0.5962,0.5446,152.7,17.767,16.703,12.863,9.274,,,,0.188,,,,,,,438100001351050883,0000,0,nnnn,BUUU,693,1780,-1473,1885,
0.000000,J025726.18+003540.5,44.3590848,+0.5945993,0.7388,0.6681,140.5,17.896,17.339,12.561,9.328,,,,0.219,,,,,,,438100001351050969,0000,0,nnnn,BUUU,2363,1904,2428,2012,,J025726.18+003540.5,44.3590848,+0.5945993,0.7388,0.6681,140.5,17.896,17.339,12.561,9.328,,,,0.219,,,,,,,438100001351050969,0000,0,nnnn,BUUU,2363,1904,2428,2012,
0.000000,J025728.01+003548.4,44.3667161,+0.5967839,0.3383,0.3063,146.5,17.045,17.063,12.673,8.865,,,,0.107,0.428,,,,,,438100001351050267,0000,0,nnnn,ACUU,313,904,487,932,,J025728.01+003548.4,44.3667161,+0.5967839,0.3383,0.3063,146.5,17.045,17.063,12.673,8.865,,,,0.107,0.428,,,,,,438100001351050267,0000,0,nnnn,ACUU,313,904,487,932,
0.000000,J025726.65+003559.7,44.3610489,+0.5999384,0.0452,0.0433,91.8,12.719,12.777,12.282,9.387,13.359,12.843,12.765,0.024,0.027,,,0.029,0.029,0.029,438100001351049559,0000,0,12nn,AAUU,38,38,-40,38,0.117,J025726.65+003559.7,44.3610489,+0.5999384,0.0452,0.0433,91.8,12.719,12.777,12.282,9.387,13.359,12.843,12.765,0.024,0.027,,,0.029,0.029,0.029,438100001351049559,0000,0,12nn,AAUU,38,38,-40,38,0.117
0.000000,J025716.27+003508.5,44.3178105,+0.5856950,0.6286,0.5736,151.5,17.905,16.942,12.551,9.370,,,,0.209,0.366,,,,,,438100001351053854,0000,0,nnnn,BCUU,228,1814,-345,1900,,J025716.27+003508.5,44.3178105,+0.5856950,0.6286,0.5736,151.5,17.905,16.942,12.551,9.370,,,,0.209,0.366,,,,,,438100001351053854,0000,0,nnnn,BCUU,228,1814,-345,1900,
0.000000,J025718.26+003532.8,44.3261240,+0.5924539,0.3651,0.3281,150.6,17.127,17.089,12.772,9.253,,,,0.114,0.444,,,,,,438100001351053248,0000,0,nnnn,BCUU,-12,905,-496,955,,J025718.26+003532.8,44.3261240,+0.5924539,0.3651,0.3281,150.6,17.127,17.089,12.772,9.253,,,,0.114,0.444,,,,,,438100001351053248,0000,0,nnnn,BCUU,-12,905,-496,955,
