angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.000000,J025715.84+003546.3,44.3160222,+0.5962037,0.5838,0.5332,150.2,17.816,16.526,12.748,8.744,,,,0.211,0.271,,,,,,438100001351053567,0000,0,nnnn,BBUU,-1306,1568,1268,1650,,J025715.84+003546.3,44.3160222,+0.5962037,0.5838,0.5332,150.2,17.816,16.526,12.748,8.744,,,,0.211,0.271,,,,,,438100001351053567,0000,0,nnnn,BBUU,-1306,1568,1268,1650,
0.000000,J025715.40+003510.8,44.3142047,+0.5863521,0.2321,0.2148,149.1,16.670,16.712,12.905,9.131,,,,0.074,0.296,,,,,,438100001351052745,0000,0,nnnn,ABUU,-583,549,-250,572,,J025715.40+003510.8,44.3142047,+0.5863521,0.2321,0.2148,149.1,16.670,16.712,12.905,9.131,,,,0.074,0.296,,,,,,438100001351052745,0000,0,nnnn,ABUU,-583,549,-250,572,
0.000000,J025719.74+003602.9,44.3322610,+0.6008208,0.1132,0.1057,138.4,15.649,15.466,12.954,8.995,16.457,15.991,16.794,0.042,0.096,,,0.129,0.184,,438100001351052364,0000,0,0nnn,AAUU,0,214,0,223,0.339,J025719.74+003602.9,44.3322610,+0.6008208,0.1132,0.1057,138.4,15.649,15.466,12.954,8.995,16.457,15.991,16.794,0.042,0.096,,,0.129,0.184,,438100001351052364,0000,0,0nnn,AAUU,0,214,0,223,0.339
0.000000,J025713.53+003612.4,44.3063782,+0.6034606,0.1419,0.1295,148.2,15.950,15.651,12.891,9.168,,,,0.050,0.115,,,,,,438100001351052427,0000,0,0nnn,ABUU,442,273,-252,288,,J025713.53+003612.4,44.3063782,+0.6034606,0.1419,0.1295,148.2,15.950,15.651,12.891,9.168,,,,0.050,0.115,,,,,,438100001351052427,0000,0,0nnn,ABUU,442,273,-252,288,
0.000000,J025715.43+003523.8,44.3142983,+0.5899620,0.2834,0.2536,148.6,16.847,16.576,12.141,9.152,,,,0.091,0.264,,,,,,438100001351052872,0000,0,nnnn,ABUU,-536,672,736,705,,J025715.43+003523.8,44.3142983,+0.5899620,0.2834,0.2536,148.6,16.847,16.576,12.141,9.152,,,,0.091,0.264,,,,,,438100001351052872,0000,0,nnnn,ABUU,-536,672,736,705,
0.000000,J025718.15+003631.7,44.3256460,+0.6088292,0.3944,0.3592,147.7,17.241,17.034,12.604,8.903,,,,0.125,0.386,,,,,,438100001351053372,0000,0,nnnn,BCUU,-668,1001,169,1048,,J025718.15+003631.7,44.3256460,+0.6088292,0.3944,0.3592,147.7,17.241,17.034,12.604,8.903,,,,0.125,0.386,,,,,,438100001351053372,0000,0,nnnn,BCUU,-668,1001,169,1048,
0.000000,J025716.32+003625.1,44.3180076,+0.6069986,0.4869,0.4435,153.2,17.552,16.473,12.730,9.246,,,,0.173,0.246,,,,,,438100001351053381,0000,0,nnnn,BBUU,-607,1294,3,1363,,J025716.32+003625.1,44.3180076,+0.6069986,0.4869,0.4435,153.2,17.552,16.473,12.730,9.246,,,,0.173,0.246,,,,,,438100001351053381,0000,0,nnnn,BBUU,-607,1294,3,1363,
0.000000,J025716.21+003608.9,44.3175565,+0.6024791,0.1411,0.1317,150.4,15.940,15.669,12.777,9.252,,,,0.050,0.117,,,,,,438100001351052445,0000,0,0nnn,ABUU,-61,292,297,305,,J025716.21+003608.9,44.3175565,+0.6024791,0.1411,0.1317,150.4,15.940,15.669,12.777,9.252,,,,0.050,0.117,,,,,,438100001351052445,0000,0,0nnn,ABUU,-61,292,297,305,
0.000000,J025720.35+003535.1,44.3348112,+0.5930923,0.2683,0.2391,153.8,16.879,16.102,12.443,8.998,,,,0.091,0.167,,,,,,438100001351050081,0000,0,nnnn,ABUU,-1285,623,-636,666,,J025720.35+003535.1,44.3348112,+0.5930923,0.2683,0.2391,153.8,16.879,16.102,12.443,8.998,,,,0.091,0.167,,,,,,438100001351050081,0000,0,nnnn,ABUU,-1285,623,-636,666,
0.000000,J025714.47+003534.5,44.3102978,+0.5929261,0.6048,0.5473,150.9,17.807,16.913,12.820,9.213,,,,0.201,0.343,,,,,,438100001351053541,0000,0,nnnn,BBUU,972,1520,1864,1606,,J025714.47+003534.5,44.3102978,+0.5929261,0.6048,0.5473,150.9,17.807,16.913,12.820,9.213,,,,0.201,0.343,,,,,,438100001351053541,0000,0,nnnn,BBUU,972,1520,1864,1606,
0.000000,J025718.83+003611.4,44.3284777,+0.6031912,0.3863,0.3469,149.7,17.249,17.407,12.789,9.149,,,,0.120,0.522,,,,,,438100001351053316,0000,0,nnnn,BCUU,-191,1042,429,1099,,J025718.83+003611.4,44.3284777,+0.6031912,0.3863,0.3469,149.7,17.249,17.407,12.789,9.149,,,,0.120,0.522,,,,,,438100001351053316,0000,0,nnnn,BCUU,-191,1042,429,1099,
0.000000,J025717.08+003625.3,44.3211728,+0.6070513,0.4317,0.3861,150.2,17.256,16.807,12.593,9.281,,,,0.138,0.336,,,,,,438100001351053219,0000,0,nnnn,BBUU,-726,1006,397,1066,,J025717.08+003625.3,44.3211728,+0.6070513,0.4317,0.3861,150.2,17.256,16.807,12.593,9.281,,,,0.138,0.336,,,,,,438100001351053219,0000,0,nnnn,BBUU,-726,1006,397,1066,
0.000000,J025717.39+003513.0,44.3224787,+0.5869583,0.2409,0.2190,149.9,16.635,16.832,12.920,8.972,,,,0.076,0.395,,,,,,438100001351052846,0000,0,0nnn,ACUU,292,557,-1218,581,,J025717.39+003513.0,44.3224787,+0.5869583,0.2409,0.2190,149.9,16.635,16.832,12.920,8.972,,,,0.076,0.395,,,,,,438100001351052846,0000,0,0nnn,ACUU,292,557,-1218,581,
0.000000,J025712.73+003559.3,44.3030511,+0.5998117,0.1168,0.1080,145.0,15.658,15.363,11.560,8.744,,,,0.044,0.090,0.162,,,,,438100001351052340,0000,0,0nnn,AABU,-379,225,360,234,,J025712.73+003559.3,44.3030511,+0.5998117,0.1168,0.1080,145.0,15.658,15.363,11.560,8.744,,,,0.044,0.090,0.162,,,,,438100001351052340,0000,0,0nnn,AABU,-379,225,360,234,
0.000000,J025718.88+003644.2,44.3286710,+0.6122987,0.3543,0.3216,148.2,17.113,17.246,12.896,9.163,,,,0.112,0.490,,,,,,438100001351053272,0000,0,nnnn,BCUU,-423,860,1615,908,,J025718.88+003644.2,44.3286710,+0.6122987,0.3543,0.3216,148.2,17.113,17.246,12.896,9.163,,,,0.112,0.490,,,,,,438100001351053272,0000,0,nnnn,BCUU,-423,860,1615,908,
0.000000,J025724.12+003631.5,44.3505321,+0.6087771,0.6197,0.5554,151.3,17.877,17.075,12.174,9.202,,,,0.207,0.397,,,,,,438100001351050918,0000,0,nnnn,BCUU,791,1752,1882,1824,,J025724.12+003631.5,44.3505321,+0.6087771,0.6197,0.5554,151.3,17.877,17.075,12.174,9.202,,,,0.207,0.397,,,,,,438100001351050918,0000,0,nnnn,BCUU,791,1752,1882,1824,
0.000000,J025721.86+003701.7,44.3410966,+0.6171518,0.2203,0.1998,146.4,16.572,16.251,12.888,8.898,,,,0.072,0.203,,,,,,438100001351050009,0000,0,0nnn,ABUU,-613,526,575,542,,J025721.86+003701.7,44.3410966,+0.6171518,0.2203,0.1998,146.4,16.572,16.251,12.888,8.898,,,,0.072,0.203,,,,,,438100001351050009,0000,0,0nnn,ABUU,-613,526,575,542,
0.000000,J025721.79+003633.4,44.3408128,+0.6092989,0.5460,0.4892,147.5,17.661,16.974,12.641,9.150,,,,0.175,0.381,,,,,,438100001351050734,0000,0,nnnn,BCUU,-272,1433,-1660,1500,,J025721.79+003633.4,44.3408128,+0.6092989,0.5460,0.4892,147.5,17.661,16.974,12.641,9.150,,,,0.175,0.381,,,,,,438100001351050734,0000,0,nnnn,BCUU,-272,1433,-1660,1500,
0.000000,J025725.59+003656.0,44.3566545,+0.6155760,0.3806,0.3402,151.0,17.175,17.355,12.567,9.137,,,,0.115,,,,,,,438100001351050373,0000,0,nnnn,BUUU,266,912,2316,973,,J025725.59+003656.0,44.3566545,+0.6155760,0.3806,0.3402,151.0,17.175,17.355,12.567,9.137,,,,0.115,,,,,,,438100001351050373,0000,0,nnnn,BUUU,266,912,2316,973,
0.000000,J025722.91+003625.1,44.3454977,+0.6069914,0.2126,0.1900,145.2,16.450,16.944,12.799,9.313,,,,0.068,0.355,,,,,,438100001351049973,0000,0,0nnn,ABUU,366,470,-729,499,,J025722.91+003625.1,44.3454977,+0.6069914,0.2126,0.1900,145.2,16.450,16.944,12.799,9.313,,,,0.068,0.355,,,,,,438100001351049973,0000,0,0nnn,ABUU,366,470,-729,499,
0.000000,J025717.48+003704.9,44.3228421,+0.6180364,0.2134,0.1917,149.0,16.503,16.049,12.997,9.226,,,,0.071,0.173,,,,,,438100001351052649,0000,0,0nnn,ABUU,-105,474,372,503,,J025717.48+003704.9,44.3228421,+0.6180364,0.2134,0.1917,149.0,16.503,16.049,12.997,9.226,,,,0.071,0.173,,,,,,438100001351052649,0000,0,0nnn,ABUU,-105,474,372,503,
0.000000,J025722.09+003643.0,44.3420420,+0.6119478,0.4338,0.3912,149.8,17.460,16.616,12.426,9.112,,,,0.143,0.277,,,,,,438100001351050489,0000,0,nnnn,BBUU,-98,1243,905,1311,,J025722.09+003643.0,44.3420420,+0.6119478,0.4338,0.3912,149.8,17.460,16.616,12.426,9.112,,,,0.143,0.277,,,,,,438100001351050489,0000,0,nnnn,BBUU,-98,1243,905,1311,
0.000000,J025722.61+003741.4,44.3442143,+0.6281908,0.3572,0.3204,144.8,17.251,16.177,12.139,9.376,,,,0.127,0.179,,,,,,438100001351050280,0000,0,nnnn,BBUU,105,881,-34,900,,J025722.61+003741.4,44.3442143,+0.6281908,0.3572,0.3204,144.8,17.251,16.177,12.139,9.376,,,,0.127,0.179,,,,,,438100001351050280,0000,0,nnnn,BBUU,105,881,-34,900,
0.000000,J025719.74+003650.8,44.3322892,+0.6141305,0.2307,0.2064,146.8,16.646,16.473,12.456,8.697,,,,0.074,0.243,,,,,,438100001351052890,0000,0,0nnn,ABUU,214,548,-289,567,,J025719.74+003650.8,44.3322892,+0.6141305,0.2307,0.2064,146.8,16.646,16.473,12.456,8.697,,,,0.074,0.243,,,,,,438100001351052890,0000,0,0nnn,ABUU,214,548,-289,567,
0.000000,J025730.45+003626.9,44.3768966,+0.6074964,0.1302,0.1197,148.0,15.836,15.867,12.760,9.128,16.596,16.233,16.228,0.045,0.143,,,0.144,0.238,,438100001351049765,0000,0,0nnn,ABUU,39,260,-73,277,0.573,J025730.45+003626.9,44.3768966,+0.6074964,0.1302,0.1197,148.0,15.836,15.867,12.760,9.128,16.596,16.233,16.228,0.045,0.143,,,0.144,0.238,,438100001351049765,0000,0,0nnn,ABUU,39,260,-73,277,0.573
0.000000,J025732.59+003645.3,44.3858263,+0.6125895,0.2660,0.2392,150.6,16.828,16.146,12.891,8.820,,,,0.089,0.178,,,,,,438100001351050167,0000,0,nnnn,ABUU,-586,605,413,640,,J025732.59+003645.3,44.3858263,+0.6125895,0.2660,0.2392,150.6,16.828,16.146,12.891,8.820,,,,0.089,0.178,,,,,,438100001351050167,0000,0,nnnn,ABUU,-586,605,413,640,
0.000000,J025729.60+003639.2,44.3733407,+0.6109129,0.1890,0.1747,143.8,16.349,16.275,12.760,9.109,,,,0.063,0.201,,,,,,438100001351049890,0000,0,1nnn,ABUU,-94,425,374,438,,J025729.60+003639.2,44.3733407,+0.6109129,0.1890,0.1747,143.8,16.349,16.275,12.760,9.109,,,,0.063,0.201,,,,,,438100001351049890,0000,0,1nnn,ABUU,-94,425,374,438,
0.000000,J025732.26+003718.1,44.3844371,+0.6217201,0.2832,0.2556,147.2,16.913,16.458,12.833,9.030,,,,0.091,0.254,,,,,,438100001351050224,0000,0,nnnn,ABUU,111,684,158,724,,J025732.26+003718.1,44.3844371,+0.6217201,0.2832,0.2556,147.2,16.913,16.458,12.833,9.030,,,,0.091,0.254,,,,,,438100001351050224,0000,0,nnnn,ABUU,111,684,158,724,
0.000000,J025728.96+003650.6,44.3706905,+0.6140732,0.6869,0.6203,150.2,17.876,17.274,12.805,8.540,,,,0.208,,,,,,,438100001351050638,0000,0,nnnn,BUUU,-909,2164,-43,2265,,J025728.96+003650.6,44.3706905,+0.6140732,0.6869,0.6203,150.2,17.876,17.274,12.805,8.540,,,,0.208,,,,,,,438100001351050638,0000,0,nnnn,BUUU,-909,2164,-43,2265,
0.000000,J025731.97+003632.9,44.3832130,+0.6091469,0.2010,0.1818,153.0,16.379,16.371,12.122,9.199,,,,0.066,0.216,,,,,,438100001351049932,0000,0,0nnn,ABUU,106,452,-29,476,,J025731.97+003632.9,44.3832130,+0.6091469,0.2010,0.1818,153.0,16.379,16.371,12.122,9.199,,,,0.066,0.216,,,,,,438100001351049932,0000,0,0nnn,ABUU,106,452,-29,476,
0.000000,J025732.09+003737.1,44.3837419,+0.6269740,0.4619,0.4128,155.1,17.454,16.769,12.383,9.169,,,,0.150,0.323,,,,,,438100001351050579,0000,0,nnnn,BBUU,1218,1304,647,1396,,J025732.09+003737.1,44.3837419,+0.6269740,0.4619,0.4128,155.1,17.454,16.769,12.383,9.169,,,,0.150,0.323,,,,,,438100001351050579,0000,0,nnnn,BBUU,1218,1304,647,1396,
0.000000,J025731.90+003709.7,44.3829498,+0.6193770,0.4473,0.3961,151.5,17.453,16.819,12.650,8.868,,,,0.143,0.329,,,,,,438100001351050585,0000,0,nnnn,BBUU,41,1138,-37,1211,,J025731.90+003709.7,44.3829498,+0.6193770,0.4473,0.3961,151.5,17.453,16.819,12.650,8.868,,,,0.143,0.329,,,,,,438100001351050585,0000,0,nnnn,BBUU,41,1138,-37,1211,
0.000000,J025733.38+003718.9,44.3891020,+0.6219426,0.1646,0.1504,151.7,16.250,15.652,11.772,8.987,,,,0.058,0.117,0.207,,,,,438100001351049850,0000,0,0nnn,ABBU,-286,356,654,378,,J025733.38+003718.9,44.3891020,+0.6219426,0.1646,0.1504,151.7,16.250,15.652,11.772,8.987,,,,0.058,0.117,0.207,,,,,438100001351049850,0000,0,0nnn,ABBU,-286,356,654,378,
0.000000,J025732.72+003614.1,44.3863589,+0.6039443,0.4065,0.3582,154.4,17.312,16.519,12.886,9.295,,,,0.135,0.244,,,,,,438100001351050415,0000,0,nnnn,BBUU,-631,1032,-71,1106,,J025732.72+003614.1,44.3863589,+0.6039443,0.4065,0.3582,154.4,17.312,16.519,12.886,9.295,,,,0.135,0.244,,,,,,438100001351050415,0000,0,nnnn,BBUU,-631,1032,-71,1106,
0.000000,J025738.27+003713.2,44.4094653,+0.6203478,0.5054,0.4582,146.7,17.601,16.869,12.750,9.330,,,,0.168,0.318,,,,,,438100001351050823,0000,0,nnnn,BBUU,1566,1214,-2034,1270,,J025738.27+003713.2,44.4094653,+0.6203478,0.5054,0.4582,146.7,17.601,16.869,12.750,9.330,,,,0.168,0.318,,,,,,438100001351050823,0000,0,nnnn,BBUU,1566,1214,-2034,1270,
0.000000,J025740.98+003742.8,44.4207517,+0.6285636,0.2971,0.2682,149.3,17.007,16.346,12.511,9.158,,,,0.099,0.211,,,,,,438100001351050257,0000,0,nnnn,ABUU,-64,705,-493,743,,J025740.98+003742.8,44.4207517,+0.6285636,0.2971,0.2682,149.3,17.007,16.346,12.511,9.158,,,,0.099,0.211,,,,,,438100001351050257,0000,0,nnnn,ABUU,-64,705,-493,743,
0.000000,J025739.70+003744.8,44.4154490,+0.6291272,0.0786,0.0749,137.4,14.939,14.862,12.731,8.745,15.823,15.153,14.951,0.032,0.062,,,0.077,0.095,0.109,438100001351049635,0000,0,00nn,AAUU,-70,121,-119,127,0.324,J025739.70+003744.8,44.4154490,+0.6291272,0.0786,0.0749,137.4,14.939,14.862,12.731,8.745,15.823,15.153,14.951,0.032,0.062,,,0.077,0.095,0.109,438100001351049635,0000,0,00nn,AAUU,-70,121,-119,127,0.324
0.000000,J025737.75+003753.6,44.4073136,+0.6315582,0.4888,0.4417,149.6,17.562,17.058,12.849,8.868,,,,0.156,0.401,,,,,,438100001351050908,0000,0,nnnn,BCUU,-173,1227,466,1297,,J025737.75+003753.6,44.4073136,+0.6315582,0.4888,0.4417,149.6,17.562,17.058,12.849,8.868,,,,0.156,0.401,,,,,,438100001351050908,0000,0,nnnn,BCUU,-173,1227,466,1297,
0.000000,J025740.55+003758.5,44.4189829,+0.6329247,0.2467,0.2218,149.4,16.757,16.147,12.677,9.374,,,,0.082,0.175,,,,,,438100001351050121,0000,0,0nnn,ABUU,-140,554,1124,581,,J025740.55+003758.5,44.4189829,+0.6329247,0.2467,0.2218,149.4,16.757,16.147,12.677,9.374,,,,0.082,0.175,,,,,,438100001351050121,0000,0,0nnn,ABUU,-140,554,1124,581,
0.000000,J025738.76+003820.1,44.4115049,+0.6389437,0.2165,0.1941,151.1,16.568,15.940,12.283,8.784,,,,0.073,0.152,,,,,,438100001351050002,0000,0,0nnn,ABUU,188,471,-1123,493,,J025738.76+003820.1,44.4115049,+0.6389437,0.2165,0.1941,151.1,16.568,15.940,12.283,8.784,,,,0.073,0.152,,,,,,438100001351050002,0000,0,0nnn,ABUU,188,471,-1123,493,
0.000000,J025738.26+003846.9,44.4094536,+0.6463821,0.1075,0.1010,151.7,15.523,15.259,12.437,8.476,,,,0.041,0.089,0.350,,,,,438100001351049692,0000,0,0nnn,AABU,-58,204,184,212,,J025738.26+003846.9,44.4094536,+0.6463821,0.1075,0.1010,151.7,15.523,15.259,12.437,8.476,,,,0.041,0.089,0.350,,,,,438100001351049692,0000,0,0nnn,AABU,-58,204,184,212,
0.000000,J025737.15+003734.4,44.4048042,+0.6262438,0.3249,0.2920,149.2,17.123,16.127,12.695,8.967,,,,0.112,0.183,,,,,,438100001351050322,0000,0,nnnn,BBUU,-808,760,-1707,810,,J025737.15+003734.4,44.4048042,+0.6262438,0.3249,0.2920,149.2,17.123,16.127,12.695,8.967,,,,0.112,0.183,,,,,,438100001351050322,0000,0,nnnn,BBUU,-808,760,-1707,810,
0.000000,J025738.08+003808.8,44.4086998,+0.6357991,0.4390,0.3922,150.4,17.554,16.359,12.810,9.009,,,,0.159,0.202,,,,,,438100001351051231,0000,0,nnnn,BBUU,83,1117,1018,1183,,J025738.08+003808.8,44.4086998,+0.6357991,0.4390,0.3922,150.4,17.554,16.359,12.810,9.009,,,,0.159,0.202,,,,,,438100001351051231,0000,0,nnnn,BBUU,83,1117,1018,1183,
0.000000,J025736.49+003845.5,44.4020809,+0.6459918,0.2925,0.2600,152.4,16.936,16.595,12.486,9.064,,,,0.093,0.267,,,,,,438100001351050219,0000,0,nnnn,ABUU,645,695,150,741,,J025736.49+003845.5,44.4020809,+0.6459918,0.2925,0.2600,152.4,16.936,16.595,12.486,9.064,,,,0.093,0.267,,,,,,438100001351050219,0000,0,nnnn,ABUU,645,695,150,741,
0.000000,J025738.64+003810.7,44.4110312,+0.6363188,0.4354,0.3948,150.7,17.494,16.585,12.690,8.603,,,,0.151,0.264,0.494,,,,,438100001351050590,0000,0,nnnn,BBCU,-2786,1168,-398,1239,,J025738.64+003810.7,44.4110312,+0.6363188,0.4354,0.3948,150.7,17.494,16.585,12.690,8.603,,,,0.151,0.264,0.494,,,,,438100001351050590,0000,0,nnnn,BBCU,-2786,1168,-398,1239,
0.000000,J025739.60+003844.1,44.4150389,+0.6456025,0.5177,0.4641,153.7,17.608,16.691,12.694,9.096,,,,0.177,0.290,,0.528,,,,438100001351050746,0000,0,nnnn,BBUC,66,1326,-464,1407,,J025739.60+003844.1,44.4150389,+0.6456025,0.5177,0.4641,153.7,17.608,16.691,12.694,9.096,,,,0.177,0.290,,0.528,,,,438100001351050746,0000,0,nnnn,BBUC,66,1326,-464,1407,
0.000000,J025724.34+003751.7,44.3514172,+0.6310499,0.5827,0.5243,150.4,17.722,16.880,12.894,9.218,,,,0.183,,,,,,,438100001351050793,0000,0,nnnn,BUUU,-328,1565,46,1636,,J025724.34+003751.7,44.3514172,+0.6310499,0.5827,0.5243,150.4,17.722,16.880,12.894,9.218,,,,0.183,,,,,,,438100001351050793,0000,0,nnnn,BUUU,-328,1565,46,1636,
0.000000,J025729.76+003822.2,44.3740077,+0.6395200,0.3711,0.3301,152.3,17.358,16.160,12.243,9.186,,,,0.132,0.186,,,,,,438100001351050484,0000,0,nnnn,BBUU,-244,954,-45,1014,,J025729.76+003822.2,44.3740077,+0.6395200,0.3711,0.3301,152.3,17.358,16.160,12.243,9.186,,,,0.132,0.186,,,,,,438100001351050484,0000,0,nnnn,BBUU,-244,954,-45,1014,
0.000000,J025729.23+003748.0,44.3718216,+0.6300008,0.5412,0.4804,150.6,17.816,16.560,12.340,9.260,,,,0.193,0.263,,,,,,438100001351050756,0000,0,nnnn,BBUU,-546,1382,1475,1469,,J025729.23+003748.0,44.3718216,+0.6300008,0.5412,0.4804,150.6,17.816,16.560,12.340,9.260,,,,0.193,0.263,,,,,,438100001351050756,0000,0,nnnn,BBUU,-546,1382,1475,1469,
0.000000,J025724.76+003834.3,44.3531828,+0.6428725,0.0533,0.0520,93.7,13.997,13.696,10.892,8.836,16.099,15.279,15.012,0.026,0.034,0.094,0.391,0.127,0.133,0.153,438100001351049588,0000,0,110n,AAAC,-110,72,-10,74,0.242,J025724.76+003834.3,44.3531828,+0.6428725,0.0533,0.0520,93.7,13.997,13.696,10.892,8.836,16.099,15.279,15.012,0.026,0.034,0.094,0.391,0.127,0.133,0.153,438100001351049588,0000,0,110n,AAAC,-110,72,-10,74,0.242
